name,code,start,end
Нематеріальні активи,1000,631,426
первісна вартість,1001,928,937
накопичена амортизація,1002,297,511
Незавершені капітальні інвестиції,1005,,
Основні засоби,1010,7670,6988
первісна вартість,1011,34415,34180
знос,1012,26745,27192
Інвестиційна нерухомість,1015,45,43
первісна вартість,1016,189,189
знос,1017,144,146
Довгострокові біологічні активи,1020,,
Довгострокові фінансові інвестиції:,1030,,
інші фінансові інвестиції,1035,3,1
Довгострокова дебіторська заборгованість,1040,,
Відстрочені податкові активи,1045,,
Гудвіл,1050,,
Відстрочені аквізиційні витрати,1060,,
Залишок коштів у централізованих страхових резервних фондах,1065,,
Інші необоротні активи,1090,,
Усього за розділом I,1095,8346,7457
II. Оборотні активи,1100,16862,23079
Виробничі запаси,1101,1880,2123
Незавершене виробництво,1102,13657,18469
Готова продукція,1103,1325,2487
Товари,1104,0,0
Поточні біологічні активи,1110,,
"Дебіторська заборгованість за продукцію, товари, роботи, послуги",1125,1980,364
Дебіторська заборгованість за розрахунками:,1130,1019,608
з бюджетом,1135,1357,579
у тому числі з податку на прибуток,1136,796,474
Інша поточна дебіторська заборгованість,1155,785,859
Поточні фінансові інвестиції,1160,,
Гроші та їх еквіваленти,1165,6383,4733
Витрати майбутніх періодів,1170,97,9
Частка перестраховика у страхових резервах,1180,,
Інші оборотні активи,1190,119,584
Усього за розділом II,1195,28602,30815
"III.Необоротні активи, утримувані для продажу, та групи вибуття",1200,,
Баланс,1300,36948,38272
Зареєстрований (пайовий) капітал,1400,600,600
Капітал у дооцінках,1405,,
Додатковий капітал,1410,11273,13068
Резервний капітал,1415,150,150
Нерозподілений прибуток (непокритий збиток),1420,20733,19510
Неоплачений капітал,1425,,
Вилучений капітал,1430,,
Усього за розділом I,1495,32756,33328
Відстрочені податкові зобов’язання,1500,,
Довгострокові кредити банків,1510,,
Інші довгострокові зобов’язання,1515,,
Довгострокові забезпечення,1520,,
Цільове фінансування,1525,,
Усього за розділом II,1595,,
Короткострокові кредити банків,1600,,
Поточна кредиторська заборгованість за:,1610,,
"товари, роботи, послуги",1615,455,46
розрахунками з бюджетом,1620,132,206
у тому числі з податку на прибуток,1621,,146
розрахунками зі страхування,1625,164,108
розрахунками з оплати праці,1630,316,415
за одержаними авансами,1635,1832,2709
за розрахунками з учасниками,1640,429,422
Поточні забезпечення,1660,864,988
Доходи майбутніх періодів,1665,,
Відстрочені комісійні доходи від перестраховиків,1670,,
Інші поточні зобов’язання,1690,,50
Усього за розділом IІІ,1695,4192,4944
"ІV.Зобов’язання, пов’язані з необоротними активами,",1700,,
Баланс,1900,36948,38272
